K_EMPRESA,ANIO,MES,FOLIO,FECHA,CONCESIONARIO,EMPRESA,L_TOTAL_E,L_PREPAGO_E,L_POSPAGOC_E,L_POSPAGOL_E,K_GRUPO,GRUPO
C517,2014,4,100625,15APR2014,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,730,412","63,186,786","9,543,626",,G006,AMÉRICA MÓVIL
C517,2014,5,100625,15-may-14,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,800,445","63,201,912","9,598,533",,G006,AMÉRICA MÓVIL
C517,2014,6,100625,15-jun-14,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"71,282,249","61,615,069","9,667,180",,G006,AMÉRICA MÓVIL
C517,2014,7,100625,15-jul-14,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"69,660,607","61,160,441","8,500,166",,G006,AMÉRICA MÓVIL
C517,2014,8,100625,15AUG2014,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"69,725,669","61,191,226","8,534,443",,G006,AMÉRICA MÓVIL
C517,2014,9,100625,15-sep-14,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"69,152,734","60,586,263","8,566,471",,G006,AMÉRICA MÓVIL
C517,2014,10,100625,15-oct-14,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"69,866,529","60,456,816","9,409,713",,G006,AMÉRICA MÓVIL
C517,2014,11,100625,15-nov-14,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"70,131,615","60,681,836","9,449,779",,G006,AMÉRICA MÓVIL
C517,2014,12,100625,15DEC2014,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"70,964,607","61,428,817","9,535,790",,G006,AMÉRICA MÓVIL
C517,2015,1,100625,15JAN2015,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"71,333,229","61,713,914","9,619,315",,G006,AMÉRICA MÓVIL
C517,2015,2,100625,15-feb-15,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"71,440,456","61,729,646","9,710,810",,G006,AMÉRICA MÓVIL
C517,2015,3,100625,15-mar-15,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"71,520,883","61,787,292","9,733,591",,G006,AMÉRICA MÓVIL
C517,2015,4,100625,15APR2015,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"71,665,645","61,851,485","9,814,160",,G006,AMÉRICA MÓVIL
C517,2015,5,100625,15-may-15,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"71,935,208","62,016,430","9,918,778",,G006,AMÉRICA MÓVIL
C517,2015,6,100625,15-jun-15,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,106,264","62,066,832","10,039,432",,G006,AMÉRICA MÓVIL
C517,2015,7,100625,15-jul-15,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,297,095","62,050,582","10,246,513",,G006,AMÉRICA MÓVIL
C517,2015,8,100625,15AUG2015,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,430,847","62,067,771","10,363,076",,G006,AMÉRICA MÓVIL
C517,2015,9,100625,15-sep-15,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,544,996","62,093,926","10,451,070",,G006,AMÉRICA MÓVIL
C517,2015,10,100625,15-oct-15,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,667,224","62,088,912","10,578,312",,G006,AMÉRICA MÓVIL
C517,2015,11,100625,15-nov-15,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,793,555","62,107,836","10,685,719",,G006,AMÉRICA MÓVIL
C517,2015,12,100625,15DEC2015,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,252,405","62,444,429","10,807,976",,G006,AMÉRICA MÓVIL
C517,2016,1,100625,15JAN2016,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,513,539","62,641,701","10,871,838",,G006,AMÉRICA MÓVIL
C517,2016,2,100625,15-feb-16,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,438,873","62,505,793","10,933,080",,G006,AMÉRICA MÓVIL
C517,2016,3,100625,15-mar-16,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,046,632","62,044,999","11,001,633",,G006,AMÉRICA MÓVIL
C517,2016,4,100625,15APR2016,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,599,104","61,539,480","11,059,624",,G006,AMÉRICA MÓVIL
C517,2016,5,100625,15-may-16,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,507,579","61,388,429","11,119,150",,G006,AMÉRICA MÓVIL
C517,2016,6,100625,15-jun-16,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,674,661","61,473,613","11,201,048",,G006,AMÉRICA MÓVIL
C517,2016,7,100625,15-jul-16,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,686,219","61,418,556","11,267,663",,G006,AMÉRICA MÓVIL
C517,2016,8,100625,15AUG2016,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,808,471","61,477,455","11,331,016",,G006,AMÉRICA MÓVIL
C517,2016,9,100625,15-sep-16,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,308,499","60,940,362","11,368,137",,G006,AMÉRICA MÓVIL
C517,2016,10,100625,15-oct-16,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,111,427","60,688,761","11,422,666",,G006,AMÉRICA MÓVIL
C517,2016,11,100625,15-nov-16,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,359,132","60,862,888","11,496,244",,G006,AMÉRICA MÓVIL
C517,2016,12,100625,15DEC2016,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,535,690","60,927,165","11,608,525",,G006,AMÉRICA MÓVIL
C517,2017,1,100625,15JAN2017,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,815,388","61,138,741","11,676,647",,G006,AMÉRICA MÓVIL
C517,2017,2,100625,15-feb-17,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,585,419","60,846,323","11,739,096",,G006,AMÉRICA MÓVIL
C517,2017,3,100625,15-mar-17,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,537,853","60,741,240","11,796,613",,G006,AMÉRICA MÓVIL
C517,2017,4,100625,15APR2017,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,493,136","60,652,502","11,840,634",,G006,AMÉRICA MÓVIL
C517,2017,5,100625,15-may-17,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,641,312","60,750,859","11,890,453",,G006,AMÉRICA MÓVIL
C517,2017,6,100625,15-jun-17,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,701,744","60,733,244","11,968,500",,G006,AMÉRICA MÓVIL
C517,2017,7,100625,15-jul-17,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,806,032","60,765,901","12,040,131",,G006,AMÉRICA MÓVIL
C517,2017,8,100625,15AUG2017,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,983,027","60,870,368","12,112,659",,G006,AMÉRICA MÓVIL
C517,2017,9,100625,15-sep-17,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,915,527","60,748,320","12,167,207",,G006,AMÉRICA MÓVIL
C517,2017,10,100625,15-oct-17,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,871,340","60,643,926","12,227,414",,G006,AMÉRICA MÓVIL
C517,2017,11,100625,15-nov-17,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,162,122","60,867,388","12,294,734",,G006,AMÉRICA MÓVIL
C517,2017,12,100625,15DEC2017,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,467,933","61,084,191","12,383,742",,G006,AMÉRICA MÓVIL
C517,2018,1,100625,15JAN2018,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,641,366","61,196,918","12,444,448",,G006,AMÉRICA MÓVIL
C517,2018,2,100625,15-feb-18,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,357,537","60,846,355","12,511,182",,G006,AMÉRICA MÓVIL
C517,2018,3,100625,15-mar-18,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,615,337","61,032,838","12,582,499",,G006,AMÉRICA MÓVIL
C517,2018,4,100625,15APR2018,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,731,055","61,092,259","12,638,796",,G006,AMÉRICA MÓVIL
C517,2018,5,100625,15-may-18,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,945,230","61,234,432","12,710,798",,G006,AMÉRICA MÓVIL
C517,2018,6,100625,15-jun-18,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"74,052,511","61,276,657","12,775,854",,G006,AMÉRICA MÓVIL
C517,2018,7,100625,15-jul-18,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"74,207,200","61,373,987","12,833,213",,G006,AMÉRICA MÓVIL
C517,2018,8,100625,15AUG2018,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"74,288,220","61,411,446","12,876,774",,G006,AMÉRICA MÓVIL
C517,2018,9,100625,15-sep-18,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"74,351,680","61,385,155","12,966,525",,G006,AMÉRICA MÓVIL
C517,2018,10,100625,15-oct-18,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"74,399,205","61,381,610","13,017,595",,G006,AMÉRICA MÓVIL
C517,2018,11,100625,15-nov-18,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"74,717,968","61,638,118","13,079,850",,G006,AMÉRICA MÓVIL
C517,2018,12,100625,15DEC2018,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"75,093,736","61,932,869","13,160,867",,G006,AMÉRICA MÓVIL
C517,2019,1,100625,15JAN2019,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"75,250,784","62,022,710","13,228,074",,G006,AMÉRICA MÓVIL
C517,2019,2,100625,15-feb-19,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"74,715,063","61,678,090","13,036,973",,G006,AMÉRICA MÓVIL
C517,2019,3,100625,15-mar-19,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"74,977,684","61,894,405","13,083,279",,G006,AMÉRICA MÓVIL
C517,2019,4,100625,15APR2019,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"75,054,562","61,934,603","13,119,959",,G006,AMÉRICA MÓVIL
C517,2019,5,100625,15-may-19,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"75,177,084","62,004,197","13,172,887",,G006,AMÉRICA MÓVIL
C517,2019,6,100625,15-jun-19,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"75,316,714","62,098,932","13,217,782",,G006,AMÉRICA MÓVIL
C517,2019,7,100625,15-jul-19,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"75,275,896","62,028,480","13,247,416",,G006,AMÉRICA MÓVIL
C517,2019,8,100625,15AUG2019,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"75,424,463","62,122,665","13,301,798",,G006,AMÉRICA MÓVIL
C517,2019,9,100625,15-sep-19,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"75,441,139","62,040,503","13,400,636",,G006,AMÉRICA MÓVIL
C517,2019,10,100625,15-oct-19,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"75,397,314","61,918,620","13,478,694",,G006,AMÉRICA MÓVIL
C517,2019,11,100625,15-nov-19,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"75,755,211","62,209,562","13,545,649",,G006,AMÉRICA MÓVIL
C517,2019,12,100625,15DEC2019,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"76,197,707","62,566,480","13,631,227",,G006,AMÉRICA MÓVIL
C517,2020,1,100625,15JAN2020,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"76,312,733","62,618,958","13,693,775",,G006,AMÉRICA MÓVIL
C517,2020,2,100625,15-feb-20,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"76,397,284","62,640,828","13,756,456",,G006,AMÉRICA MÓVIL
C517,2020,3,100625,15-mar-20,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"76,446,362","62,646,267","13,800,095",,G006,AMÉRICA MÓVIL
C517,2020,4,100625,15APR2020,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"75,259,962","61,497,005","13,762,957",,G006,AMÉRICA MÓVIL
C517,2020,5,100625,15-may-20,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"74,433,084","60,747,448","13,685,636",,G006,AMÉRICA MÓVIL
C517,2020,6,100625,15-jun-20,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"74,558,838","60,924,170","13,634,668",,G006,AMÉRICA MÓVIL
C612,2013,1,100728,15JAN2013,"OPERADORA UNEFON, S.A. DE C.V.",UNEFON,"4,904,096","4,456,567","447,529",,G005,IUSACELL-UNEFÓN
C612,2013,2,100728,15-feb-13,"OPERADORA UNEFON, S.A. DE C.V.",UNEFON,"4,752,906","4,307,290","445,616",,G005,IUSACELL-UNEFÓN
C612,2013,3,100728,15-mar-13,"OPERADORA UNEFON, S.A. DE C.V.",UNEFON,"4,842,162","4,401,300","440,862",,G005,IUSACELL-UNEFÓN
C612,2013,4,100728,15APR2013,"OPERADORA UNEFON, S.A. DE C.V.",UNEFON,"4,740,741","4,337,613","403,128",,G005,IUSACELL-UNEFÓN
C612,2013,5,100728,15-may-13,"OPERADORA UNEFON, S.A. DE C.V.",UNEFON,"4,729,195","4,332,655","396,540",,G005,IUSACELL-UNEFÓN
C612,2013,6,100728,15-jun-13,"OPERADORA UNEFON, S.A. DE C.V.",UNEFON,"4,742,199","4,349,734","392,465",,G005,IUSACELL-UNEFÓN
C612,2013,7,100728,15-jul-13,"OPERADORA UNEFON, S.A. DE C.V.",UNEFON,"4,740,813","4,352,429","388,384",,G005,IUSACELL-UNEFÓN
C612,2013,8,100728,15AUG2013,"OPERADORA UNEFON, S.A. DE C.V.",UNEFON,"4,761,532","4,378,148","383,384",,G005,IUSACELL-UNEFÓN
C612,2013,9,100728,15-sep-13,"OPERADORA UNEFON, S.A. DE C.V.",UNEFON,"4,778,719","4,402,668","376,051",,G005,IUSACELL-UNEFÓN
C612,2013,10,100728,15-oct-13,"OPERADORA UNEFON, S.A. DE C.V.",UNEFON,"4,747,481","4,378,897","368,584",,G005,IUSACELL-UNEFÓN
C612,2013,11,100728,15-nov-13,"OPERADORA UNEFON, S.A. DE C.V.",UNEFON,"4,804,076","4,441,809","362,267",,G005,IUSACELL-UNEFÓN
