,movie_name,movie_year,movie_runtime,movie_rating,movie_metascore,movie_genre,movie_votes,movie_gross,movie_certificate,movie_synopsis,gen_1,gen_2,gen_3
500,Star Trek,2009,127,7.9,82,"Action, Adventure, Sci-Fi            ","582,520",257.73,PG-13,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,Action,Adventure,Sci-Fi
925,The Blind Side,2009,129,7.6,53,"Biography, Drama, Sport            ","300,503",255.96,PG-13,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",Biography,Drama,Sport
916,Despicable Me,2010,95,7.6,72,"Animation, Comedy, Crime            ","509,004",251.51,PG,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Animation,Comedy,Crime
514,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82,"Adventure, Family, Fantasy            ","566,044",249.36,PG,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",Adventure,Family,Fantasy
903,Moana,2016,107,7.6,81,"Animation, Adventure, Comedy            ","284,234",248.76,PG,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",Animation,Adventure,Comedy
76,Indiana Jones and the Raiders of the Lost Ark,1981,115,8.4,85,"Action, Adventure            ","899,551",248.16,PG,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Action,Adventure,
526,Toy Story 2,1999,92,7.9,88,"Animation, Adventure, Comedy            ","536,968",245.85,G,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",Animation,Adventure,Comedy
689,Ghostbusters,1984,105,7.8,71,"Action, Comedy, Fantasy            ","362,799",238.63,PG,Three former parapsychology professors set up shop as a unique ghost removal service.,Action,Comedy,Fantasy
487,X-Men: Days of Future Past,2014,132,7.9,75,"Action, Adventure, Sci-Fi            ","670,192",233.92,PG-13,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,Action,Adventure,Sci-Fi
657,Cast Away,2000,143,7.8,73,"Adventure, Drama, Romance            ","538,274",233.63,PG-13,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,Adventure,Drama,Romance
430,The Exorcist,1973,122,8,81,Horror,"367,861",232.91,R,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",Horror,,
753,Star Trek Into Darkness,2013,132,7.7,72,"Action, Adventure, Sci-Fi            ","467,221",228.78,PG-13,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",Action,Adventure,Sci-Fi
