Datos,Local,Marcador,Visita,Estadio
Miércoles 3 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 93 Marzo 2021 - 19:00 hrs.,Gallos Blancos de Querétaro,2 - 2,Guadalajara,La Corregidora
Miércoles 3 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 93 Marzo 2021 - 18:00 hrs.,FC Juárez,1 - 6,Monterrey,Olímpico Benito Juárez
Miércoles 3 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 93 Marzo 2021 - 21:00 hrs.,Cruz Azul,1 - 0,Mazatlán FC,Azteca
Miércoles 3 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 93 Marzo 2021 - 19:06 hrs.,Tijuana,0 - 2,América,Caliente
Jueves 4 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 94 Marzo 2021 - 19:00 hrs.,Necaxa,2 - 2,Pachuca,Victoria
Jueves 4 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 94 Marzo 2021 - 21:00 hrs.,PUMAS,1 - 0,Santos Laguna,Olímpico Universitario
Viernes 5 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 105 Marzo 2021 - 19:30 hrs.,Club Atlético de San Luis,0 - 0,Toluca,Alfonso Lastras Ramírez
Viernes 5 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 105 Marzo 2021 - 21:30 hrs.,Puebla F.C.,1 - 1,UANL,Cuauhtémoc
Sábado 6 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 106 Marzo 2021 - 17:00 hrs.,Atlas,2 - 0,FC Juárez,Jalisco
Sábado 6 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 106 Marzo 2021 - 19:00 hrs.,América,2 - 1,León,Azteca
Sábado 6 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 106 Marzo 2021 - 19:06 hrs.,Monterrey,2 - 1,Gallos Blancos de Querétaro,Estadio BBVA
Sábado 6 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 106 Marzo 2021 - 20:00 hrs.,Mazatlán FC,1 - 1,Guadalajara,Estadio Mazatlán
Domingo 7 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 107 Marzo 2021 - 19:06 hrs.,Santos Laguna,3 - 1,Necaxa,TSM Corona
Domingo 7 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 107 Marzo 2021 - 21:00 hrs.,PUMAS,0 - 1,Cruz Azul,Olímpico Universitario
Lunes 8 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 108 Marzo 2021 - 21:00 hrs.,Pachuca,2 - 1,Tijuana,Hidalgo
Miércoles 10 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 310 Marzo 2021 - 21:00 hrs.,Monterrey,1 - 1,León,Estadio BBVA
Viernes 12 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1112 Marzo 2021 - 19:30 hrs.,Puebla F.C.,0 - 1,Atlas,Cuauhtémoc
Viernes 12 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1112 Marzo 2021 - 20:30 hrs.,FC Juárez,1 - 1,PUMAS,Olímpico Benito Juárez
Sábado 13 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1113 Marzo 2021 - 19:00 hrs.,UANL,1 - 2,Mazatlán FC,Universitario
Sábado 13 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1113 Marzo 2021 - 21:00 hrs.,Cruz Azul,1 - 0,Monterrey,Azteca
Sábado 13 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1113 Marzo 2021 - 19:06 hrs.,Tijuana,0 - 1,Santos Laguna,Caliente
Domingo 14 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1114 Marzo 2021 - 12:00 hrs.,Toluca,0 - 2,Pachuca,Nemesio Diez
Domingo 14 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1114 Marzo 2021 - 18:00 hrs.,Gallos Blancos de Querétaro,2 - 1,Club Atlético de San Luis,La Corregidora
Domingo 14 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1114 Marzo 2021 - 20:00 hrs.,Guadalajara,0 - 3,América,Estadio AKRON
Lunes 15 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1115 Marzo 2021 - 21:00 hrs.,León,3 - 1,Necaxa,Nou Camp
Jueves 18 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1218 Marzo 2021 - 20:00 hrs.,Pachuca,1 - 0,UANL,Hidalgo
Viernes 19 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1219 Marzo 2021 - 19:00 hrs.,Necaxa,1 - 0,FC Juárez,Victoria
Viernes 19 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1219 Marzo 2021 - 20:00 hrs.,Mazatlán FC,0 - 1,América,Estadio Mazatlán
Sábado 20 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1220 Marzo 2021 - 17:00 hrs.,Club Atlético de San Luis,0 - 1,PUMAS,Alfonso Lastras Ramírez
